# Parameters:,Wind direction:,12°,Angle of attack:,0°,Roll rate:,0 °/s,Active stages:,Stage,Flight configuration:,[J435WS-14]
# 121 data points written for 10 variables.
# Mach number,CP (Modified Adventurer 54) (cm),CNα (Modified Adventurer 54) (​),Pressure CD (Modified Adventurer 54) (​),Base CD (Modified Adventurer 54) (​),Friction CD (Modified Adventurer 54) (​),Per instance CD (Nose cone) (​),Total CD (Modified Adventurer 54) (​),Roll forcing coefficient (Fin set) (​),Roll damping coefficient (Fin set) (​),Total Cl (Fin set) (​)
0,130.72,14.741,0.014,0.08,2.017,0.227,2.11,0,0,0
0.025,130.722,14.742,0.014,0.08,0.601,0.068,0.695,0,0,0
0.05,130.726,14.745,0.014,0.08,0.526,0.059,0.62,0,0,0
0.075,130.732,14.75,0.014,0.08,0.488,0.055,0.582,0,0,0
0.1,130.741,14.757,0.014,0.08,0.464,0.052,0.558,0,0,0
0.125,130.753,14.766,0.014,0.081,0.446,0.05,0.541,0,0,0
0.15,130.767,14.778,0.014,0.082,0.432,0.049,0.528,0,0,0
0.175,130.784,14.791,0.014,0.082,0.421,0.047,0.517,0,0,0
0.2,130.804,14.807,0.015,0.083,0.411,0.046,0.509,0,0,0
0.225,130.827,14.824,0.015,0.084,0.403,0.045,0.502,0,0,0
0.25,130.852,14.844,0.016,0.085,0.395,0.045,0.496,0,0,0
0.275,130.879,14.866,0.016,0.086,0.389,0.044,0.491,0,0,0
0.3,130.91,14.89,0.016,0.087,0.383,0.043,0.487,0,0,0
0.325,130.943,14.917,0.017,0.089,0.377,0.043,0.483,0,0,0
0.35,130.979,14.946,0.018,0.09,0.372,0.042,0.48,0,0,0
0.375,131.018,14.977,0.018,0.092,0.368,0.041,0.478,0,0,0
0.4,131.06,15.011,0.019,0.093,0.363,0.041,0.476,0,0,0
0.425,131.105,15.047,0.02,0.095,0.359,0.04,0.474,0,0,0
0.45,131.152,15.086,0.02,0.097,0.355,0.04,0.473,0,0,0
0.475,131.203,15.128,0.021,0.099,0.351,0.04,0.472,0,0,0
0.5,131.257,15.172,0.022,0.101,0.348,0.039,0.471,0,0,0
0.525,131.32,15.22,0.023,0.103,0.344,0.039,0.471,0,0,0
0.55,131.398,15.27,0.024,0.106,0.341,0.038,0.471,0,0,0
0.575,131.49,15.323,0.026,0.108,0.338,0.038,0.471,0,0,0
0.6,131.595,15.38,0.027,0.111,0.334,0.038,0.472,0,0,0
0.625,131.712,15.44,0.028,0.113,0.331,0.037,0.473,0,0,0
0.65,131.839,15.503,0.03,0.116,0.328,0.037,0.474,0,0,0
0.675,131.977,15.57,0.032,0.119,0.325,0.037,0.476,0,0,0
0.7,132.125,15.641,0.034,0.122,0.322,0.036,0.478,0,0,0
0.725,132.281,15.716,0.036,0.125,0.319,0.036,0.48,0,0,0
0.75,132.445,15.795,0.038,0.128,0.317,0.036,0.483,0,0,0
0.775,132.617,15.879,0.041,0.131,0.314,0.035,0.486,0,0,0
0.8,132.795,15.967,0.044,0.135,0.311,0.035,0.49,0,0,0
0.825,132.98,16.061,0.048,0.138,0.308,0.035,0.494,0,0,0
0.85,133.172,16.16,0.052,0.142,0.306,0.034,0.5,0,0,0
0.875,133.369,16.264,0.058,0.146,0.303,0.034,0.506,0,0,0
0.9,133.571,16.375,0.065,0.149,0.3,0.034,0.515,0,0,0
0.925,133.779,16.491,0.065,0.153,0.298,0.034,0.516,0,0,0
0.95,133.99,16.613,0.065,0.157,0.296,0.035,0.518,0,0,0
0.975,134.201,16.739,0.066,0.162,0.295,0.037,0.522,0,0,0
1,134.412,16.866,0.067,0.166,0.293,0.039,0.526,0,0,0
1.025,134.618,16.992,0.073,0.162,0.291,0.045,0.526,0,0,0
1.05,134.817,17.114,0.078,0.158,0.29,0.05,0.526,0,0,0
1.075,135.007,17.23,0.081,0.154,0.289,0.053,0.524,0,0,0
1.1,135.184,17.337,0.084,0.151,0.288,0.056,0.523,0,0,0
1.125,135.346,17.431,0.085,0.147,0.286,0.057,0.519,0,0,0
1.15,135.49,17.509,0.086,0.144,0.284,0.058,0.514,0,0,0
1.175,135.613,17.567,0.088,0.141,0.282,0.059,0.51,0,0,0
1.2,135.713,17.603,0.089,0.138,0.28,0.06,0.506,0,0,0
1.225,135.787,17.613,0.089,0.135,0.278,0.061,0.502,0,0,0
1.25,135.831,17.595,0.09,0.133,0.276,0.061,0.498,0,0,0
1.275,135.844,17.544,0.091,0.13,0.274,0.062,0.494,0,0,0
1.3,135.822,17.46,0.091,0.128,0.272,0.062,0.491,0,0,0
1.325,135.763,17.339,0.092,0.125,0.27,0.063,0.487,0,0,0
1.35,135.662,17.18,0.093,0.123,0.268,0.063,0.483,0,0,0
1.375,135.517,16.98,0.093,0.121,0.266,0.064,0.48,0,0,0
1.4,135.324,16.74,0.094,0.118,0.264,0.065,0.476,0,0,0
1.425,135.078,16.459,0.094,0.116,0.262,0.064,0.472,0,0,0
1.45,134.775,16.136,0.094,0.114,0.26,0.064,0.469,0,0,0
1.475,134.409,15.772,0.094,0.112,0.258,0.064,0.465,0,0,0
1.5,133.976,15.37,0.094,0.111,0.256,0.064,0.461,0,0,0
1.525,133.558,15.002,0.094,0.109,0.254,0.064,0.457,0,0,0
1.55,133.116,14.634,0.094,0.107,0.253,0.064,0.454,0,0,0
1.575,132.647,14.266,0.094,0.105,0.251,0.063,0.45,0,0,0
1.6,132.15,13.898,0.094,0.104,0.249,0.063,0.447,0,0,0
1.625,131.746,13.61,0.094,0.102,0.247,0.063,0.443,0,0,0
1.65,131.322,13.323,0.093,0.101,0.245,0.062,0.439,0,0,0
1.675,130.877,13.035,0.093,0.099,0.244,0.062,0.436,0,0,0
1.7,130.409,12.748,0.093,0.098,0.242,0.062,0.432,0,0,0
1.725,130.018,12.515,0.092,0.096,0.24,0.061,0.429,0,0,0
1.75,129.61,12.282,0.092,0.095,0.238,0.061,0.425,0,0,0
1.775,129.184,12.05,0.092,0.093,0.237,0.06,0.422,0,0,0
1.8,128.74,11.817,0.092,0.092,0.235,0.06,0.419,0,0,0
1.825,128.361,11.624,0.091,0.091,0.233,0.059,0.415,0,0,0
1.85,127.967,11.431,0.091,0.09,0.232,0.059,0.412,0,0,0
1.875,127.559,11.238,0.091,0.088,0.23,0.059,0.409,0,0,0
1.9,127.136,11.045,0.09,0.087,0.228,0.058,0.406,0,0,0
1.925,126.767,10.882,0.09,0.086,0.227,0.058,0.403,0,0,0
1.95,126.387,10.719,0.09,0.085,0.225,0.057,0.4,0,0,0
1.975,125.994,10.555,0.089,0.084,0.223,0.057,0.397,0,0,0
2,125.589,10.392,0.089,0.083,0.222,0.057,0.394,0,0,0
2.025,125.231,10.251,0.089,0.082,0.22,0.056,0.391,0,0,0
2.05,124.862,10.111,0.089,0.081,0.219,0.056,0.388,0,0,0
2.075,124.482,9.97,0.089,0.08,0.217,0.056,0.386,0,0,0
2.1,124.089,9.829,0.088,0.079,0.216,0.055,0.383,0,0,0
2.125,123.739,9.707,0.088,0.078,0.214,0.055,0.38,0,0,0
2.15,123.378,9.584,0.088,0.077,0.213,0.055,0.378,0,0,0
2.175,123.008,9.462,0.088,0.076,0.211,0.055,0.375,0,0,0
2.2,122.627,9.339,0.088,0.075,0.21,0.054,0.373,0,0,0
2.225,122.284,9.231,0.088,0.075,0.208,0.054,0.37,0,0,0
2.25,121.931,9.123,0.087,0.074,0.207,0.054,0.368,0,0,0
2.275,121.57,9.015,0.087,0.073,0.205,0.053,0.365,0,0,0
2.3,121.199,8.907,0.087,0.072,0.204,0.053,0.363,0,0,0
2.325,120.863,8.811,0.087,0.071,0.202,0.053,0.361,0,0,0
2.35,120.518,8.715,0.087,0.071,0.201,0.053,0.358,0,0,0
2.375,120.165,8.619,0.087,0.07,0.199,0.052,0.356,0,0,0
2.4,119.804,8.523,0.086,0.069,0.198,0.052,0.354,0,0,0
2.425,119.474,8.437,0.086,0.068,0.197,0.052,0.351,0,0,0
2.45,119.136,8.351,0.086,0.068,0.195,0.052,0.349,0,0,0
2.475,118.791,8.265,0.086,0.067,0.194,0.051,0.347,0,0,0
2.5,118.438,8.179,0.086,0.066,0.193,0.051,0.345,0,0,0
2.525,118.114,8.102,0.086,0.066,0.191,0.051,0.343,0,0,0
2.55,117.783,8.024,0.085,0.065,0.19,0.051,0.34,0,0,0
2.575,117.446,7.947,0.085,0.064,0.189,0.05,0.338,0,0,0
2.6,117.101,7.869,0.085,0.064,0.187,0.05,0.336,0,0,0
2.625,116.782,7.799,0.085,0.063,0.186,0.05,0.334,0,0,0
2.65,116.458,7.728,0.085,0.063,0.185,0.05,0.332,0,0,0
2.675,116.127,7.658,0.085,0.062,0.183,0.049,0.33,0,0,0
2.7,115.79,7.587,0.085,0.061,0.182,0.049,0.328,0,0,0
2.725,115.477,7.523,0.084,0.061,0.181,0.049,0.326,0,0,0
2.75,115.158,7.459,0.084,0.06,0.18,0.049,0.324,0,0,0
2.775,114.834,7.395,0.084,0.06,0.178,0.048,0.322,0,0,0
2.8,114.504,7.33,0.084,0.059,0.177,0.048,0.32,0,0,0
2.825,114.196,7.271,0.084,0.059,0.176,0.048,0.319,0,0,0
2.85,113.883,7.213,0.084,0.058,0.175,0.048,0.317,0,0,0
2.875,113.565,7.154,0.083,0.058,0.174,0.047,0.315,0,0,0
2.9,113.241,7.095,0.083,0.057,0.173,0.047,0.313,0,0,0
2.925,112.939,7.041,0.083,0.057,0.171,0.047,0.311,0,0,0
2.95,112.631,6.986,0.083,0.056,0.17,0.047,0.309,0,0,0
2.975,112.319,6.932,0.083,0.056,0.169,0.046,0.308,0,0,0
3,112.001,6.878,0.083,0.055,0.168,0.046,0.306,0,0,0
